date,day,plan,actual,notes
2026-06-29,R&R (phase 1 begins),R&R (phase 1 begins),"40min climbing (crux), failed a v4",started out brain foggy but that last v3/4 did feel better than all the v2s before
2026-06-30,"lower lift (A, B)","lower lift (A, B)","sl rdl 3x6 85lbs, sl box clean 3x3 55lbs, zercher jefferson curls 2x8 65lbs, sl pogos, dl hops, nordics. glutes were surprisingly already in a sore state",
2026-07-01,warmup + climbing (mesa rim),warmup + climbing (mesa rim),did some v3s but struggled with some v2s...?,"this place felt like more of a top rope gym than bouldering. also didn't think i went particularly hard today but my body felt wrecked that night, lol, in a good way"
2026-07-02,"upper lift (A, B)","upper lift (A, B)","pullups raw 3x5, face pulls 3x8 100lbs, lateral raises 3x10 30lbs, dumbbell flys 3x8 20lbs, bosu pikes + tucks 2x10",not much of note! late period finally arrived. 3-day weekend starting. woop.
2026-07-03,hangboard w/u + climbing,hangboard w/u + climbing,as planned. went with friends and surprised that i measured up to these guys that all used to climb a lot! even got a v3 that nobody else got. also a v4 pretty easy.,"period start which is when it goes pretty hard. on a lot of tylenol right now. lol. but my body felt pretty damn good today, and coordinated."
2026-07-04,60min Z2,60min Z2,as planned. warm weather (80s) but didn't feel too bothered by it. definitely have some technical work to do with uphilling rocky sections. downhills felt good. very ambling because it was a new area.,can't complain about how my body felt
2026-07-05,peddlers pass,peddlers pass,yes,
2026-07-06,easy climb,easy climb,yes,
2026-07-07,"lower lift (A, B) + lateral raises","lower lift (A, B) + lateral raises","sl rdl 95lbs 2x6, stepups+plyos 65,2x85lbs 3x8, sl plate hops, triple hops, broad jumps, dragon flag eccentrics",
2026-07-08,hangboard w/u + climbing,hangboard w/u + climbing,"climbing lots of stability v2s, working on a v3, pretty hard day in a good way",
2026-07-09,"upper lift (A, B)","upper lift (A, B)","pullups 5 2x4, face pulls 55lbs 3x6, lat pullaround 30,2x35lbs 8,2x6, rear delt flys 10lbs 2x10, bb shoulder press 2x55,45lbs 2x6,8",
2026-07-10,hangboard w/u + climbing + lateral raises,hangboard w/u + climbing + lateral raises,climbing - got a v3! almost got another v3 but every time I tried it got better. I'll just have to try again next time :),
2026-07-11,75min Z2,75min Z2,"yes. last week 1 hr was 2.82mi, today 1:15hr was 5 miles! still not where I want/need to be but I think this phase is about trusting the ramp",
