date,category,exercise,exercise_id,measure,record,feel,notes
2025-05-09,Anaerobic Lactic Capacity + Circuits,run,,,7x 1h1e,,
2025-05-12,Plyo (-agility),ins and outs,,,3x half turf,,
2025-05-12,Power (upper),lm split clean & jerk,lm-split-clean-jerk,,2x5,,
2025-05-12,Plyo (-agility),sl drop squat,,,2x10,,
2025-05-12,Power (upper),mb split rotational slam,mb-split-rotational-slam,18lbs,2x5,,
2025-05-12,Plyo (-agility),drop squat bounds,drop-squat-bounds,,10,,
2025-05-12,Plyo (-agility),sl broad jumps,sl-broad-jumps,,10,,
2025-05-12,Plyo (-agility),sl hops + lateral bounds,sl-hops-lateral-bounds,,5,,
2025-05-12,Plyo (-agility),tuck jump + lateral hops + bound,tuck-jump-lateral-hops-bound,,6,,
2025-05-13,Core,fowler in Faris throw,,4lbs,4x10,,
2025-05-13,Plyo (-agility),rfe lateral hops,rfe-lateral-hops,,3x15,,
2025-05-13,Power (upper),endless rope,endless-rope,,3x30s,,
2025-05-13,Sprints,hurdle to sprint,,,3,,
2025-05-13,Core,pallof hold + sideways walk,pallof-hold-sideways-walk,15lbs,2,,
2025-05-13,Plyo (-agility),depth jumps,,,3x10,,
2025-05-13,Sprints,pushup to sprint,,,3,,
2025-05-13,Plyo (-agility),ickey shuffle bounding,,,4,,
2025-05-14,Anaerobic Lactic Capacity + Circuits,emom: 5 burpees + 5 air squats + 5 situps,,,5mins,,
2025-05-14,Plyo (-agility),sl box jumps,,6in,3x10,,
2025-05-14,Power (lower),db jump squats,,30lbs,5x5,,
2025-05-14,Anaerobic Lactic Capacity + Circuits,stairclimber,stairclimber,bw-75spm,2x3mins,,
2025-05-14,Plyo (-agility),speed skater + sl box jump,,6in,3x10,,
2025-05-14,Power (lower),sled resisted sprint,sled-resisted-sprint,L1,2x4,,
2025-05-14,Plyo (-agility),triple broads,triple-broads,,3x5,,
2025-05-15,Anaerobic Lactic Capacity + Circuits,run,,,10x 2laps,,
2025-05-15,Core,leg raises,leg-raises,"15,3x12.5",4x10,,
2025-05-15,Plyo (-agility),sprinter start skips,,,3x10,,
2025-05-15,Core,plank pulls & drags,,20lbs,4x10,,
2025-05-15,Plyo (-agility),death drop split box jumps,death-drop-split-box-jumps,6in,3x10,,
2025-05-15,Core,serratus anterior pulls,serratus-anterior-pulls,,4x10,,
2025-05-15,Core,kb rotational lift half kneeling,kb-rotational-lift-half-kneeling,,4x15,,
2025-05-16,Plyo (-agility),lateral forward & back,lateral-forward-back,,2 each,,
2025-05-16,Power (upper),lm explosive row + catch,lm-explosive-row-catch,65lbs,3x5,,
