date,category,exercise,exercise_id,measure,record,feel,notes
2020-05-24,Arms,Dumbbell curls,,20lbs,8x3,,"fatiguing easily due to long run yesterday, also haven't weight trained properly in several months"
2020-05-24,Back,Lat pulldown,,70lbs,8x4,,"fatiguing easily due to long run yesterday, also haven't weight trained properly in several months"
2020-05-24,Chest,Bench press,bench-press,65lbs,8x4,,"fatiguing easily due to long run yesterday, also haven't weight trained properly in several months"
2020-05-24,Shoulders,Rear delt raise,,7.5lbs,8x4,,"fatiguing easily due to long run yesterday, also haven't weight trained properly in several months"
2020-05-24,Arms,Wrist flexion,,17.5lbs,15x5,,
2020-05-24,Back,Bent over row,bent-over-row,25lbs,8x4,,
2020-05-24,Chest,Pec deck,,55lbs,8x3,,
2020-05-24,Arms,Tricep extension,,30lbs,8x4,,
2020-05-26,Arms,Dumbbell curls,,20lbs,8x4,,surprised by recovery in 2 days
2020-05-26,Chest,Bench press,bench-press,75lbs,6x4,,surprised by recovery in 2 days
2020-05-26,Legs,Standing calf,,110lbs,12x4,,surprised by recovery in 2 days
2020-05-26,Shoulders,Rear delt fly,,55lbs,6x4,,surprised by recovery in 2 days
2020-05-26,Abs,Torso rotation,,100lbs,6x4,,surprised by recovery in 2 days
2020-05-26,Arms,Tricep extension,,35lbs,6x4,,
2020-05-26,Shoulders,Lateral raise machine,,50lbs,6x4,,
2020-05-26,Arms,Farmers carry,,40lbs,30x4,,
2020-05-27,Legs,Deadlift,deadlift,115lbs,5x5,,
2020-05-27,Shoulders,Arnold Press,,20lbs,6x4,,
2020-05-27,Legs,Squat,,65lbs,5x5,,
2020-05-29,Arms,Seated dumbbell curl,,25lbs,6x4,,
2020-05-29,Back,Lat pulldown,,85lbs,6x4,,
2020-05-29,Chest,Bench press,bench-press,80lbs,5x5,,
2020-05-29,Shoulders,Arnold press,,25lbs,5x5,,
2020-05-29,Arms,Tricep extension,,35lbs,6x4,,
2020-05-29,Back,Bent over row,bent-over-row,35lbs,6x5,,
2020-05-29,Chest,Pec deck,,70lbs,6x4,,
2020-05-29,Arms,Wrist flexion,,20lbs,15x5,,
2020-05-31,Arms,Hammer curl,,25lbs,6x4,,
2020-05-31,Legs,Leg extension,,55lbs,6x4,,
2020-05-31,Shoulders,Overhead press,overhead-press,45lbs,6x4,,
2020-05-31,Abs,Torso rotation,,100lbs,10x5,,
2020-05-31,Shoulders,Lateral raise,,10lbs,10x5,,
2020-05-31,Abs,Incline situps,,,15x4,,
2020-05-31,Shoulders,Rear delt fly,,60lbs,6x4,,
2020-06-02,Arms,Concentration curls,,20lbs,6x4,,
2020-06-02,Back,Bent over row,bent-over-row,40lbs,6x4,,
2020-06-02,Chest,Bench press,bench-press,85lbs,5x5,,
2020-06-02,Shoulders,Lateral raise,,12.5lbs,10x4,,
2020-06-02,Arms,Tricep extension,,35lbs,6x4,,
2020-06-02,Shoulders,Overhead press,overhead-press,45lbs,8x3,,
2020-06-02,Arms,Wrist flexion,,20lbs,15x5,,
2020-06-02,Arms,Wrist extension,,7.5lbs,10x5,,
2020-06-03,Legs,Deadlift,deadlift,125lbs,5x5,,
2020-06-03,Legs,Squat,,70lbs,5x5,,
2020-06-03,Legs,Standing calf,,120lbs,12x5,,
2020-06-03,Legs,Hip adduction,,110lbs,15x5,,
2020-06-03,Legs,Hip abduction,,100lbs,10x5,,
2020-06-05,Arms,Dumbbell curl,,25lbs,6x4,,
2020-06-05,Back,Lat pulldown,,85lbs,5x5,,
2020-06-05,Chest,Bench press,bench-press,85lbs,5x5,,
2020-06-05,Arms,Wrist flexion,,20lbs,15x5,,
2020-06-07,Arms,Concentration curls,,20lbs,6x6,,
2020-06-07,Back,Assisted pullups,,-40lbs,6x6,,
2020-06-07,Chest,Pec deck,,75lbs,8x4,,
2020-06-07,Shoulders,Lateral raise,,12.5lbs,10x4,,
2020-06-07,Abs,Leg raise,,,10x4,,
2020-06-07,Shoulders,Overhead press,overhead-press,45lbs,6x6,,
2020-06-09,Arms,Concentration curls,,25lbs,6x4,,
2020-06-09,Back,Lat pulldown,,85lbs,6x4,,
2020-06-09,Chest,Bench press,bench-press,85lbs,5x5,,
2020-06-09,Shoulders,Arnold press,,25lbs,6x3,,
2020-06-09,Chest,Pec deck,,75lbs,6x4,,
2020-06-10,Legs,Seated leg press,,110lbs,10x5,,
2020-06-10,Abs,Leg raise,,,12x5,,
2020-06-10,Legs,Leg extension,,45lbs,10x5,,
2020-06-12,Arms,Concentration curls,,20lbs,10x4,,
2020-06-12,Back,Lat pulldown,,85lbs,6x4,,
2020-06-12,Chest,Low pec deck,,60lbs,8x4,,
2020-06-12,Shoulders,Lateral raise,,12.5lbs,10x5,,
2020-06-12,Arms,Wrist flexion,,15lbs,20x5,,
2020-06-12,Shoulders,Overhead press,overhead-press,45lbs,8x3,,
2020-06-14,Arms,Concentration curls,,20lbs,10x4,,
2020-06-14,Back,Lat pulldown,,85lbs,6x4,,
2020-06-14,Chest,Pec deck,,60lbs,10x4,,
2020-06-14,Shoulders,Arnold press,,20lbs,8x5,,
2020-06-14,Arms,Wrist extension,,7.5lbs,15x4,,
2020-06-14,Shoulders,Rear delt row,,20lbs,10x5,,
2020-06-16,Arms,Dumbbell curl,,20lbs,10x4,,
2020-06-16,Back,Lat pulldown,,100lbs,3x5,,
2020-06-16,Legs,Bulgarian split squat,,,10x4,,
2020-06-16,Shoulders,Rear delt row,,25lbs,10x4,,
2020-06-16,Arms,Wrist extension,,7.5lbs,15x5,,50s rest for wrists
2020-06-16,Shoulders,Overhead press,overhead-press,45lbs,8x4,,50s rest for wrists
2020-06-16,Arms,Wrist flexion,,20lbs,15x3,,
2020-06-17,Chest,Chest dips,,,5x5,,
2020-06-17,Legs,Leg extension,,45lbs,10x7,,
2020-06-17,Shoulders,Rear delt fly,,40lbs,10x5,,
2020-06-17,Legs,Leg curl,,60lbs,10x5,,
2020-06-17,Legs,Hip abduction,,100lbs,10x5,,
2020-06-17,Legs,Standing calf,,120lbs,15x5,,
2020-06-19,Arms,Hammer curl,,20lbs,10x4,,1:45s rest
2020-06-19,Shoulders,Arnold press,,20lbs,10x4,,1:45s rest
2020-06-19,Shoulders,Lateral raise,,12.5lbs,10x5,,
2020-06-19,Shoulders,Rear delt row,,25lbs,10x4,,
2020-06-23,Arms,Concentration curls,,20lbs,10x4,,
2020-06-23,Shoulders,Lateral raise,,12.5lbs,10x5,,
2020-06-23,Arms,Wrist flexion,,20lbs,15x4,,
2020-06-23,Shoulders,Rear delt row,,25lbs,10x4,,
2020-06-23,Arms,Wrist extension,,7.5lbs,15x5,,
2020-06-24,Chest,Low pec fly,,60lbs,10x4,,
2020-06-24,Legs,Squat,,65lbs,8x4,,
2020-06-24,Legs,Leg extension,,50lbs,10x5,,
2020-06-24,Legs,Hip adduction,,115lbs,15x5,,
2020-06-24,Legs,Leg curl,,80lbs,10x6,,
2020-06-24,Legs,Standing calf,,120lbs,15x5,,
2020-06-25,Arms,Hammer curl,,20lbs,10x4,,
2020-06-25,Back,Lat pulldown,,100lbs,3x5,,
2020-06-25,Chest,Dips,dips,,5x5,,
2020-06-25,Abs,Incline situps,,,15x4,,
2020-06-25,Arms,Wrist extension,,10lbs,12x4,,
2020-06-30,Arms,Seated dumbbell curls,,20lbs,10x4,,
2020-06-30,Back,Lat pulldown,,100lbs,3x5,,
2020-06-30,Shoulders,Arnold press,,20lbs,10x4,,
2020-06-30,Arms,Wrist extension,,10lbs,12x5,,
2020-07-01,Legs,Leg press,,60lbs,20x5,,
2020-07-01,Legs,Leg extension,,45lbs,12x5,,
2020-07-01,Legs,Leg curl,,60lbs,15x7,,
2020-07-01,Legs,,,,20x3,,
2020-07-01,Legs,Standing calf,,110lbs,15x7,,
2020-07-01,Arms,Cable hammer curls,,50lbs,12x4,,Roughly since November
2020-07-01,Back,Upright Row,upright-row,70lbs,"12,12,10",,Roughly since November
2020-07-01,Chest,Dumbbell press,,40lbs,5x2,,Roughly since November
2020-07-01,Legs,GHD,,,3x10,,Roughly since November
2020-07-01,Shoulders,Face pulls,face-pulls,70lbs,3x12,,Roughly since November
2020-07-01,Abs,Russian twists,,10lbs,3x1min,,Roughly since November
2020-07-01,More!,Sled,,270lbs,2Lx3,,Roughly since November
2020-07-01,Arms,Cable tri pushdown,,50lbs,"15,15,12,12",,
2020-07-01,Back,lat pulldowns,,85lbs,"7,7,7,8",,
2020-07-01,Legs,Calf raise,,40lbs,4x12,,
2020-07-01,Shoulders,Strict press,,55lbs,"8,8,7,7",,
2020-07-01,Abs,Straight leg situps,,10lbs,15x3,,
2020-07-01,More!,Box jumps forward & back,,18in,3x15,,
2020-07-01,Back,Deadlift,deadlift,143lbs,"9,10",,
2020-07-01,Abs,Suitcase carry,suitcase-carry,40lbs,2x1min,,
2020-07-01,More!,Box drops & jump,,18in,2x10,,
2020-07-01,More!,Rev lunge,,12.5lbs,4x10,,
