date,trick,landed,confidence,notes
2025-10-20,Board grab,Yes,High,"Next time, more air. Different grabs. Jump up, don't just pull legs up."
2025-10-20,Small tube,Shaky,Low,Only got it once. Used to be easy - lacking confidence. Keep at it and work on the headspace!
2025-10-23,180s fs & bs,Yes,High,"This one feels easy, but right groin is complaining. Think I strained it the other day with an improper butter. Looking forward to trying these on snow. Felt good in all directions - fs, bs, regular, switch."
2025-10-28,Board grab,Yes,High,"Progression is straightforward - bigger jumps, more air. Felt better at using the kicker to pop off instead of just jumping in place and pulling legs up."
2025-10-28,Method (mini),Yes,High,"Likewise. Bigger jumps, more air. Kick out back leg more for STEEZ."
2025-10-28,Butter,Shaky,Low,Tried this maybe twice. Fun. More reps needed!
2025-10-28,Compass 360,Yes,Medium,"Tried this a couple times - I can fully spin competently but I'm not sure I'm doing the ""compass"" style part right. More reps needed!"
2025-10-28,Flat 180,Yes,High,Surprisingly very easy - gym work absolutely showing!
2025-10-28,Switch,Shaky,Low,"Reps, reps, reps. I think this is 90% a confidence issue."
2025-10-30,Dance floor,Yes,High,
2025-10-30,Rainbow box,Yes,High,
2025-10-30,Tube,Yes,High,
2025-10-30,Wide down rail,Yes,High,
2025-10-30,Wide up rail,Yes,High,"With this and all above, very surprised by how natural it all felt. Expected to be coming back farther behind but this was all super smooth!"
2025-10-30,FS board slide (rainbow box),Yes,Medium,Honestly? First time ever landing this. And it felt great. Cued myself to get low from the knees and it immediately clicked. Just a matter of confidence and reps. Otherwise I think I have the technique and ability. WOW I really didn't think I'd be progressing almost immediately after being released to return to sport. Can't complain in the slightest.
2025-10-30,180 to wall,Yes,Medium,Ditto above. Amazing day!
2025-11-02,FS board slide (rainbow box),Yes,Medium,
2025-11-02,180 to wall,Yes,Medium,"Redid these as a touch up. Heavy stomach kinda interfered with my mind-body connection, though. Rotations felt stiff."
2025-11-02,FS board slide (tube),Shaky,Medium,"Almost got it once and then I guess I'm tired and heavy (?) so it went downhill from there. That's okay, it's not always up and up. Try again next time without a heavy stomach! I didn't really set myself up for success today 😅"
2025-11-02,Thin tube,Shaky,Low,Heavy landing (coming from side instead of head on) and didn't ride the whole thing. Try again!
