,3/24-3/30,3/31-4/6,4/7-4/13,4/14-4/20,4/21-4/27,4/28-5/4,5/5-5/11,5/12-5/18,5/19-5/25,5/26-6/1,6/2-6/8,6/9-6/15,6/16-6/22,6/23-6/29,6/30-7/6,7/7-7/13,7/14-7/20,7/21-7/27,7/28-8/3,8/4-8/10,8/11-8/17,8/18-8/24,8/25-8/31,9/1-9/7,9/8-9/14,9/15-9/21,9/22-9/28,9/29-10/5,10/6-10/12,10/13-10/19,10/20-10/26,10/27-11/2,11/3-11/9,11/10-11/16,11/17-11/23,11/24-11/30,12/1-12/7,12/8-12/14
abs/core,23,29,=4+4+4+4+4+2+4,=4+4+3+4+3+4,=4+4+3+3+4,=4+2+2+4+3+2+4,=2+4+3+2+2,=4+1+4+4+4+4,=3+3+4+2+2+2,=3+3+3+2,=2+3+3+3,=2+2+2+2+2+3+3,=2+3+2+2,=2+2+2,=2+2+2+2,=2+2+2+2,=2+2+2+2,=2+2+2,=2+2+2,=2+2+2+2+2,=2+3+2+3+3,0,=3+4,=2+3,=2+3+3,=2+3+3,=3+2+3+3,=1+2+3+3,=2+3+3+3+1,=2+3+3+3,=3+3+3+2+2,=3+3,=3+3,=3+3,=3+3+3,=1+3+2+2+2+2+2+2,=3+2+2+2+2,=3+3
arms,=SUM(B4:B6),=SUM(C4:C6),=SUM(D4:D6),=SUM(E4:E6),=SUM(F4:F6),=SUM(G4:G6),=SUM(H4:H6),=SUM(I4:I6),=SUM(J4:J6),=SUM(K4:K6),=SUM(L4:L6),=SUM(M4:M6),=SUM(N4:N6),=SUM(O4:O6),=SUM(P4:P6),=SUM(Q4:Q6),=SUM(R4:R6),=SUM(S4:S6),=SUM(T4:T6),=SUM(U4:U6),=SUM(V4:V6),=SUM(W4:W6),=SUM(X4:X6),=SUM(Y4:Y6),=SUM(Z4:Z6),=SUM(AA4:AA6),=SUM(AB4:AB6),=SUM(AC4:AC6),=SUM(AD4:AD6),=SUM(AE4:AE6),=SUM(AF4:AF6),=SUM(AG4:AG6),=SUM(AH4:AH6),=SUM(AI4:AI6),=SUM(AJ4:AJ6),=SUM(AK4:AK6),=SUM(AL4:AL6),=SUM(AM4:AM6)
biceps,=4+4,14,=4+4+5,=4+5,=4+4+5,=2+4+5,=3+4+4+5,=6+6,=6+3,=3,=3,=3,=4,=4,=2,=3,=3,=4,=3+4,,=2,=3,=3+4,=3,=3+3,=3,,=3,=3,,,,=3,=3,=3,=3,=3
triceps,=4+4,12,=4+4+4,=4+4+4,=4+4+4,=3+4+4+4+4,=3+4+4+4+4,=4+4+3,=4+3,=3+3,=3+3,=3+3+4,,=3+3,=3,=3+3,=3+2,=3+2+2,=2+2+3+1,=3+3,=2+2,=2+2+2+2,=2+2+4,=2+2,=2+2,=2+1,=2+2,=2,=2+2,=2+2,=2+2,=3,=3,=4,=3
forearms/grip,=4+4,11,=4+2+4+2+3,=5+3+4+2,=4+3+4+3,4,=4,=4,=4,=2+3,=3,=3,=3,=3+4+3+2,,=2,=3+3+3,=2+3,=2,=2+3,=2,=2+3,=4,=2,=2,=2,,=3+2,=2,,,,=3,=3,=3,=3,,=3
back,=SUM(B9:B11),=SUM(C8:C11),=SUM(D8:D11),=SUM(E8:E11),=SUM(F8:F11),=SUM(G8:G11),=SUM(H8:H11),=SUM(I8:I11),=SUM(J8:J11),=SUM(K8:K11),=SUM(L8:L11),=SUM(M8:M11),=SUM(N8:N11),=SUM(O8:O11),=SUM(P8:P11),=SUM(Q8:Q11),=SUM(R8:R11),=SUM(S8:S11),=SUM(T8:T11),=SUM(U8:U11),=SUM(V8:V11),=SUM(W8:W11),=SUM(X8:X11),=SUM(Y8:Y11),=SUM(Z8:Z11),=SUM(AA8:AA11),=SUM(AB8:AB11),=SUM(AC8:AC11),=SUM(AD8:AD11),=SUM(AE8:AE11),=SUM(AF8:AF11),=SUM(AG8:AG11),=SUM(AH8:AH11),=SUM(AI8:AI11),=SUM(AJ8:AJ11),=SUM(AK8:AK11),=SUM(AL8:AL11),=SUM(AM8:AM11)
lats,=5+4+5++3,=5+4+4+2,=4+4+6+4+4+6,=4+4+5+3+4+3,=5+4+4+4+4+4+4+1,=4+4+4+4+4+4+4+6+3,=4+4+5+2+6+4+4,=4+4+6+6+5+10,=4+5+4+3+4+6,=3+4+5,=3+5+3+4+4,=3+5+3+4+4,=3+3+3+4,=3+3+3+3+2+2,=2+2+2+3+1,=2+2+3+2+3+2+2,=2+2+2+3+4+2,=2+1,=2+4+2+4,=2+2+2+4,=3+2+2+2+2,=3+2+2+3+2+2,=3+2+2+2+2,=3+2+2+2+2,=3+2+1+2+2,=3+1+1+3+2,=4+2+2+4+2+3,=3+2+2+3+2+5,=3+2+2+3+2+3,=4+2+2+3+2,=3+2+2+2,=2+3+4+3,=3+1+3+3,=3+1+3,=3+5+3+4+5,=3+3+3+4+3,=3+5+3,=3+3+2+5
traps/upper,=4+4+4,8,=4,=4,=4+4,=4+4+4,=4+4+4+4,=4+4,=4+3,,,,=3,=3,=3,,=5,=2+1,=2+3,=3,=2,=2,=3,=3,=3,=3,=3,=3,=3,,=3,=3,=3,=3,=4,=3,=3,=3
rhomboids,=4,=4+4,=4+4,=4+4,=4+4+4+4,=2+4,=4+4+4,=4,,=4+5,=3,=3,,,,,,,,,,,,,,,,,,,,,,,=3,=3
erectors/lower,=4+3+3,=4+3,=4+3,=4+3,=4+3,=4+3,=4,=4+3,=6+3,=2+3,=4+2+3,=4+3,,=2+5,=2+5,=2+5,=2+5,=2,=2,=2+2,=2,,=3,,=2,=3,=2,,,=3,,,=3
